Data_Source,Original_Index,Conversation_Text,Final_Intent,Final_Confidence,All_Intents,Classification_Source,Local_Intent,Local_Confidence,API_Used
chatX.csv,1,"Noonish if you have
Do you know how long it would be? I don't mind dropping it off during the week either",inquire_appointment_duration,0.999,"inquire_appointment_duration, check_availability, propose_time_slot, general_inquiry",local_only,inquire_appointment_duration,0.999,False
chatX.csv,2,"In the morning, any time from 9:00-11:00. How long does it take?",general_inquiry,0.995,"general_inquiry, propose_time_slot",local_only,general_inquiry,0.995,False
chatX.csv,3,"Sorry , how long is the time for the scheduled repair? Maybe we can do this Saturday, to around 9 in the morning?",inquire_appointment_duration,0.997,"inquire_appointment_duration, propose_time_slot, check_availability",local_only,inquire_appointment_duration,0.997,False
chatX.csv,4,Fri 2/2 how long will appt take?,inquire_appointment_duration,0.999,"inquire_appointment_duration, check_availability, propose_time_slot",local_only,inquire_appointment_duration,0.999,False
chatX.csv,5,9am? Can I wait for the car and if so how long should I expect to wait?,general_inquiry,0.991,"general_inquiry, check_availability, propose_time_slot",local_only,general_inquiry,0.991,False
chatX.csv,6,Can I schedule for 31st? How long is appointment? 11am?,check_availability,0.999,"check_availability, inquire_appointment_duration, general_inquiry, schedule_new_appointment, propose_time_slot",local_only,check_availability,0.999,False
chatX.csv,7,"OK, Sometime rhat week, mornings preferred after 9 AM. I plan to wait for it. How long does it take?",propose_time_slot,0.993,"propose_time_slot, general_inquiry, inquire_appointment_duration",local_only,propose_time_slot,0.993,False
chatX.csv,8,"how long would it take?
also, is it possible to schedule on a thursday or friday? or the weekend",inquire_appointment_duration,0.997,"inquire_appointment_duration, general_inquiry, propose_time_slot, check_availability, schedule_new_appointment",local_only,inquire_appointment_duration,0.997,False
chatX.csv,9,How long would it usually take? It also depends on the day. Do I have to come and check before/on Mar 13th?,inquire_appointment_duration,0.998,"inquire_appointment_duration, general_inquiry, check_availability, propose_time_slot",local_only,inquire_appointment_duration,0.998,False
chatX.csv,10,Good morning. I will be out of town that week. We can schedule something for the week of March 18. How long should I plan for the appointment?,check_availability,0.997,"check_availability, inquire_appointment_duration, schedule_new_appointment, propose_time_slot, general_inquiry",local_only,check_availability,0.997,False
chatX.csv,11,"Hi Ana. I just picked my laptop yesterday from the repair shop. I am still under 5 year warranty at this time. The next available Sat I will have open will be 3/9, can we set up for that day? How long would this normally take?",general_inquiry,0.994,"general_inquiry, schedule_new_appointment, inquire_appointment_duration, check_availability, propose_time_slot",local_only,general_inquiry,0.994,False
chatX.csv,12,"Hi Ana, sorry for late response. I would like to have the schedule on Mar 20th. How long does it take to complete? If possible, please let me have it at 2pm.",schedule_new_appointment,0.997,"schedule_new_appointment, inquire_appointment_duration, check_availability, propose_time_slot, general_inquiry",local_only,schedule_new_appointment,0.997,False
chatX.csv,13,Someone just called me from the shop and made an appointment over the phone for Friday at 7:15am. Thank you so much.,schedule_new_appointment,0.999,"schedule_new_appointment, propose_time_slot, confirm_existing_appointment, check_availability",local_only,schedule_new_appointment,0.999,False
chatX.csv,14,I made an appointment on the 3rd Feb 2023,schedule_new_appointment,0.991,"schedule_new_appointment, confirm_existing_appointment, check_availability, propose_time_slot",local_only,schedule_new_appointment,0.991,False
