Index,Sentence,Top_Intent,Top_Confidence,All_Intents,All_Confidence_Scores
1,"Noonish if you have
Do you know how long it would be? I don't mind dropping it off during the week either",inquire_appointment_duration,0.999,"inquire_appointment_duration, check_availability, propose_time_slot, general_inquiry","0.999, 0.997, 0.991, 0.923"
2,"In the morning, any time from 9:00-11:00. How long does it take?",general_inquiry,0.995,"general_inquiry, propose_time_slot","0.995, 0.991"
3,"Sorry , how long is the time for the scheduled repair? Maybe we can do this Saturday, to around 9 in the morning?",inquire_appointment_duration,0.997,"inquire_appointment_duration, propose_time_slot, check_availability","0.997, 0.994, 0.958"
4,Fri 2/2 how long will appt take?,inquire_appointment_duration,0.999,"inquire_appointment_duration, check_availability, propose_time_slot","0.999, 0.995, 0.983"
5,9am? Can I wait for the car and if so how long should I expect to wait?,general_inquiry,0.991,"general_inquiry, check_availability, propose_time_slot","0.991, 0.987, 0.984"
6,Can I schedule for 31st? How long is appointment? 11am?,check_availability,0.999,"check_availability, inquire_appointment_duration, general_inquiry, schedule_new_appointment, propose_time_slot","0.999, 0.999, 0.994, 0.991, 0.989"
7,"OK, Sometime rhat week, mornings preferred after 9 AM. I plan to wait for it. How long does it take?",propose_time_slot,0.993,"propose_time_slot, general_inquiry, inquire_appointment_duration","0.993, 0.959, 0.957"
8,"how long would it take?
also, is it possible to schedule on a thursday or friday? or the weekend",inquire_appointment_duration,0.997,"inquire_appointment_duration, general_inquiry, propose_time_slot, check_availability, schedule_new_appointment","0.997, 0.997, 0.99, 0.989, 0.95"
9,How long would it usually take? It also depends on the day. Do I have to come and check before/on Mar 13th?,inquire_appointment_duration,0.998,"inquire_appointment_duration, general_inquiry, check_availability, propose_time_slot","0.998, 0.995, 0.993, 0.979"
10,Good morning. I will be out of town that week. We can schedule something for the week of March 18. How long should I plan for the appointment?,check_availability,0.997,"check_availability, inquire_appointment_duration, schedule_new_appointment, propose_time_slot, general_inquiry","0.997, 0.992, 0.991, 0.979, 0.801"
11,"Hi Ana. I just picked my laptop yesterday from the repair shop. I am still under 5 year warranty at this time. The next available Sat I will have open will be 3/9, can we set up for that day? How long would this normally take?",general_inquiry,0.994,"general_inquiry, schedule_new_appointment, inquire_appointment_duration, check_availability, propose_time_slot","0.994, 0.993, 0.988, 0.98, 0.976"
12,"Hi Ana, sorry for late response. I would like to have the schedule on Mar 20th. How long does it take to complete? If possible, please let me have it at 2pm.",schedule_new_appointment,0.997,"schedule_new_appointment, inquire_appointment_duration, check_availability, propose_time_slot, general_inquiry","0.997, 0.989, 0.979, 0.979, 0.834"
